Time,H,LE,ws,wd,air_temp,TKE,rad,VWC_5_avg
20/07/201623:30:00,-10.45,45.28102883,2.099016703,127.2660637,284.0825423,3.999021685,104.1927,0.377
3/08/16 00:00:00,-12.55774548,20.567,0.994424932,230.644655,273.5599519,0.991321189,-9.016109,0.376
3/08/16 00:30:00,1.167992939,9.369,0.691989978,293.1944803,273.4244595,1.117979299,-6.428558,0.375
3/08/16 01:30:00,-8.008398868,10.496,1.461682807,293.3433463,273.9010261,1.092615878,-10.90587,0.373
3/08/16 02:00:00,-10.18762319,15.674,1.344098238,336.6437342,273.5820974,0.737442465,-14.76066,0.373
3/08/16 02:30:00,-10.18865421,18.3986,1.116603468,342.723238,273.1885243,0.434471892,-16.62795,0.373
3/08/16 03:00:00,7.524726492,33.745,1.22333318,318.9850644,272.413428,0.62544353,-22.64216,0.373
3/08/16 03:30:00,-3.955282513,33.46537417,0.323092423,27.65678193,272.8471555,0.327001786,-23.37636,0.375
3/08/16 06:00:00,-18.6520108,39.92092175,0.763732224,144.1265756,273.8243729,0.373390957,-29.01348,0.379
3/08/16 06:30:00,45.5984305,3.740589963,0.602853808,148.9472875,276.5572689,0.62755441,-38.11624,0.379
3/08/16 07:00:00,-25.6756673,10.19172014,0.939316964,260.7576728,275.698323,0.782974138,-9.950577,0.379
3/08/16 07:30:00,-13.01464546,5.37,0.447124985,125.7437107,274.6327817,0.358083369,10.43815,0.379
3/08/16 08:00:00,-0.366403383,89.77175227,0.593568965,316.0102839,276.5447297,0.251359902,37.19179,0.379
3/08/16 08:30:00,10.30572014,20.18134941,0.038673468,194.4335885,278.2501889,0.234169682,55.6342,0.379
3/08/16 09:00:00,10.95731551,38.13842051,0.432626449,330.324276,279.3760575,0.183242141,123.1119,0.379
3/08/16 09:30:00,9.724687536,77.11300187,0.676252844,70.02192639,280.0024202,0.806439506,77.92209,0.379
3/08/16 10:00:00,5.911787893,64.78496853,0.32822125,238.3729331,280.63631,0.490549202,107.856,0.379
3/08/16 10:30:00,16.13494366,67.50182051,0.403380265,286.5055202,280.6069656,0.404815132,183.4629,0.379
3/08/16 11:00:00,38.1311893,75.18498181,0.492675277,55.34308221,280.7902288,0.343923914,195.0664,0.38
3/08/16 11:30:00,44.28527296,59.35740382,0.925364604,330.8171347,280.5950077,0.509852187,175.1717,0.379
3/08/16 12:00:00,43.48941709,70.10080388,1.719463431,332.8900419,281.5212528,0.708368423,179.6045,0.379
3/08/16 12:30:00,70.12071743,114.1552087,1.683109727,325.0267225,281.2698543,1.32887474,222.4637,0.379
3/08/16 13:00:00,27.45435701,50.62637434,1.04971751,343.7317584,280.723539,0.626141171,59.61815,0.379
3/08/16 13:30:00,33.35042895,27.56708635,0.73685329,336.9436438,281.1123739,0.477731867,117.3378,0.378
3/08/16 14:00:00,26.71355416,43.71958409,0.603506327,359.534305,281.6002417,0.519078739,118.6671,0.378
3/08/16 14:30:00,29.95867407,61.78527361,1.042726613,324.338394,281.7901954,0.818120366,104.1927,0.377
3/08/16 15:00:00,38.30436068,61.5719458,1.312166404,344.666109,282.3269953,0.826019853,195.2697,0.377
3/08/16 15:30:00,51.24365267,70.91050692,0.554056196,308.8480828,282.6091982,0.527929112,211.8843,0.377
